data name: kinship
model name: HRAN
learning rate: 0.001
entity dimension: 100
relation dimension: 100
batch size: 128
decay rate: 1.0
label smoothing: 0
convolution parameters: {'input_dropout': 0.2, 'hidden_dropout': 0.3, 'feature_map_dropout': 0.3, 'in_channels': 1, 'out_channels': 36, 'filt_height': 2, 'filt_width': 5}

Epoch	MR	MRR	Hits1	Hits3	Hits10	Best_MR	Best_MRR	Best_Hits1	Best_Hits3	Best_Hits10
3	46.10	0.059	0.012	0.040	0.119	46.10	0.059	0.012	0.040	0.119
6	46.53	0.056	0.011	0.032	0.109	46.10	0.059	0.012	0.040	0.119
9	46.36	0.056	0.009	0.036	0.109	46.10	0.059	0.012	0.040	0.119
12	44.32	0.066	0.016	0.043	0.135	44.32	0.066	0.016	0.043	0.135
15	42.91	0.065	0.011	0.039	0.146	42.91	0.066	0.016	0.043	0.146
18	40.82	0.090	0.030	0.075	0.178	40.82	0.090	0.030	0.075	0.178
21	38.17	0.083	0.017	0.068	0.193	38.17	0.090	0.030	0.075	0.193
24	34.62	0.124	0.053	0.112	0.243	34.62	0.124	0.053	0.112	0.243
27	32.49	0.136	0.064	0.120	0.263	32.49	0.136	0.064	0.120	0.263
30	28.26	0.150	0.065	0.137	0.321	28.26	0.150	0.065	0.137	0.321
33	19.63	0.231	0.106	0.257	0.489	19.63	0.231	0.106	0.257	0.489
36	15.19	0.309	0.172	0.354	0.598	15.19	0.309	0.172	0.354	0.598
39	9.84	0.403	0.241	0.474	0.730	9.84	0.403	0.241	0.474	0.730
42	8.75	0.446	0.292	0.522	0.760	8.75	0.446	0.292	0.522	0.760
45	7.58	0.484	0.326	0.567	0.807	7.58	0.484	0.326	0.567	0.807
48	6.24	0.518	0.357	0.617	0.847	6.24	0.518	0.357	0.617	0.847
51	5.80	0.542	0.380	0.641	0.869	5.80	0.542	0.380	0.641	0.869
54	5.37	0.579	0.430	0.672	0.875	5.37	0.579	0.430	0.672	0.875
57	4.94	0.591	0.438	0.683	0.893	4.94	0.591	0.438	0.683	0.893
60	4.74	0.604	0.450	0.701	0.896	4.74	0.604	0.450	0.701	0.896
63	4.50	0.618	0.470	0.718	0.906	4.50	0.618	0.470	0.718	0.906
66	4.29	0.630	0.482	0.730	0.908	4.29	0.630	0.482	0.730	0.908
69	4.12	0.646	0.504	0.745	0.917	4.12	0.646	0.504	0.745	0.917
72	4.12	0.661	0.524	0.755	0.928	4.12	0.661	0.524	0.755	0.928
75	3.78	0.667	0.529	0.757	0.930	3.78	0.667	0.529	0.757	0.930
78	3.66	0.687	0.554	0.781	0.939	3.66	0.687	0.554	0.781	0.939
81	3.45	0.699	0.572	0.788	0.946	3.45	0.699	0.572	0.788	0.946
84	3.31	0.716	0.592	0.802	0.946	3.31	0.716	0.592	0.802	0.946
87	3.16	0.715	0.588	0.804	0.953	3.16	0.716	0.592	0.804	0.953
90	3.17	0.722	0.597	0.814	0.953	3.16	0.722	0.597	0.814	0.953
93	2.98	0.735	0.614	0.824	0.954	2.98	0.735	0.614	0.824	0.954
96	2.86	0.736	0.614	0.825	0.959	2.86	0.736	0.614	0.825	0.959
99	2.79	0.744	0.625	0.827	0.962	2.79	0.744	0.625	0.827	0.962
102	2.75	0.755	0.639	0.839	0.963	2.75	0.755	0.639	0.839	0.963
105	2.70	0.763	0.652	0.843	0.968	2.70	0.763	0.652	0.843	0.968
108	2.57	0.766	0.654	0.847	0.969	2.57	0.766	0.654	0.847	0.969
111	2.52	0.777	0.670	0.856	0.968	2.52	0.777	0.670	0.856	0.969
114	2.52	0.779	0.674	0.856	0.970	2.52	0.779	0.674	0.856	0.970
117	2.45	0.790	0.690	0.863	0.970	2.45	0.790	0.690	0.863	0.970
120	2.38	0.788	0.683	0.869	0.976	2.38	0.790	0.690	0.869	0.976
123	2.35	0.792	0.692	0.868	0.975	2.35	0.792	0.692	0.869	0.976
126	2.28	0.798	0.698	0.873	0.979	2.28	0.798	0.698	0.873	0.979
129	2.25	0.801	0.700	0.883	0.980	2.25	0.801	0.700	0.883	0.980
132	2.21	0.810	0.714	0.886	0.976	2.21	0.810	0.714	0.886	0.980
135	2.19	0.810	0.713	0.885	0.980	2.19	0.810	0.714	0.886	0.980
138	2.15	0.812	0.712	0.891	0.981	2.15	0.812	0.714	0.891	0.981
141	2.17	0.815	0.718	0.892	0.981	2.15	0.815	0.718	0.892	0.981
144	2.10	0.822	0.730	0.896	0.980	2.10	0.822	0.730	0.896	0.981
147	2.05	0.826	0.733	0.902	0.982	2.05	0.826	0.733	0.902	0.982
150	2.04	0.827	0.734	0.907	0.984	2.04	0.827	0.734	0.907	0.984
153	2.00	0.833	0.745	0.909	0.984	2.00	0.833	0.745	0.909	0.984
156	2.01	0.835	0.746	0.909	0.982	2.00	0.835	0.746	0.909	0.984
159	1.97	0.837	0.748	0.911	0.984	1.97	0.837	0.748	0.911	0.984
162	1.95	0.847	0.764	0.919	0.983	1.95	0.847	0.764	0.919	0.984
165	1.94	0.846	0.761	0.921	0.983	1.94	0.847	0.764	0.921	0.984
168	1.91	0.844	0.757	0.921	0.984	1.91	0.847	0.764	0.921	0.984
171	1.89	0.851	0.767	0.928	0.983	1.89	0.851	0.767	0.928	0.984
174	1.89	0.855	0.777	0.924	0.985	1.89	0.855	0.777	0.928	0.985
177	1.87	0.855	0.775	0.924	0.984	1.87	0.855	0.777	0.928	0.985
180	1.85	0.856	0.776	0.923	0.985	1.85	0.856	0.777	0.928	0.985
183	1.87	0.854	0.771	0.928	0.984	1.85	0.856	0.777	0.928	0.985
186	1.86	0.855	0.773	0.926	0.986	1.85	0.856	0.777	0.928	0.986
189	1.83	0.861	0.781	0.933	0.986	1.83	0.861	0.781	0.933	0.986
192	1.81	0.864	0.785	0.932	0.986	1.81	0.864	0.785	0.933	0.986
195	1.84	0.864	0.788	0.928	0.986	1.81	0.864	0.788	0.933	0.986
198	1.81	0.869	0.795	0.932	0.986	1.81	0.869	0.795	0.933	0.986
201	1.83	0.863	0.787	0.929	0.987	1.81	0.869	0.795	0.933	0.987
204	1.84	0.865	0.789	0.932	0.985	1.81	0.869	0.795	0.933	0.987
207	1.79	0.870	0.797	0.931	0.987	1.79	0.870	0.797	0.933	0.987
210	1.79	0.873	0.803	0.931	0.987	1.79	0.873	0.803	0.933	0.987
213	1.82	0.869	0.797	0.932	0.984	1.79	0.873	0.803	0.933	0.987
216	1.79	0.871	0.801	0.929	0.987	1.79	0.873	0.803	0.933	0.987
219	1.83	0.867	0.792	0.931	0.987	1.79	0.873	0.803	0.933	0.987
222	1.80	0.872	0.801	0.931	0.987	1.79	0.873	0.803	0.933	0.987
225	1.78	0.870	0.796	0.938	0.989	1.78	0.873	0.803	0.938	0.989
228	1.80	0.869	0.793	0.938	0.986	1.78	0.873	0.803	0.938	0.989
231	1.81	0.868	0.794	0.930	0.987	1.78	0.873	0.803	0.938	0.989
234	1.78	0.873	0.800	0.932	0.988	1.78	0.873	0.803	0.938	0.989
237	1.78	0.873	0.800	0.933	0.986	1.78	0.873	0.803	0.938	0.989
240	1.79	0.872	0.799	0.934	0.986	1.78	0.873	0.803	0.938	0.989
243	1.78	0.871	0.798	0.937	0.985	1.78	0.873	0.803	0.938	0.989
246	1.79	0.873	0.799	0.936	0.986	1.78	0.873	0.803	0.938	0.989
249	1.76	0.873	0.796	0.941	0.986	1.76	0.873	0.803	0.941	0.989
252	1.77	0.873	0.798	0.939	0.986	1.76	0.873	0.803	0.941	0.989
255	1.79	0.869	0.795	0.933	0.986	1.76	0.873	0.803	0.941	0.989
258	1.77	0.873	0.799	0.938	0.988	1.76	0.873	0.803	0.941	0.989
261	1.76	0.870	0.794	0.936	0.988	1.76	0.873	0.803	0.941	0.989
264	1.78	0.872	0.799	0.937	0.988	1.76	0.873	0.803	0.941	0.989
267	1.78	0.876	0.806	0.935	0.987	1.76	0.876	0.806	0.941	0.989
270	1.80	0.873	0.801	0.936	0.986	1.76	0.876	0.806	0.941	0.989
273	1.78	0.871	0.795	0.942	0.986	1.76	0.876	0.806	0.942	0.989
276	1.71	0.878	0.806	0.944	0.987	1.71	0.878	0.806	0.944	0.989
279	1.73	0.875	0.803	0.936	0.987	1.71	0.878	0.806	0.944	0.989
282	1.73	0.877	0.804	0.945	0.988	1.71	0.878	0.806	0.945	0.989
285	1.76	0.874	0.801	0.943	0.988	1.71	0.878	0.806	0.945	0.989
288	1.74	0.874	0.800	0.939	0.988	1.71	0.878	0.806	0.945	0.989
291	1.77	0.872	0.798	0.939	0.985	1.71	0.878	0.806	0.945	0.989
294	1.77	0.874	0.800	0.943	0.988	1.71	0.878	0.806	0.945	0.989
297	1.78	0.874	0.800	0.937	0.987	1.71	0.878	0.806	0.945	0.989
300	1.75	0.874	0.801	0.939	0.988	1.71	0.878	0.806	0.945	0.989
303	1.79	0.872	0.798	0.936	0.987	1.71	0.878	0.806	0.945	0.989
306	1.77	0.873	0.801	0.933	0.988	1.71	0.878	0.806	0.945	0.989
309	1.77	0.875	0.804	0.935	0.988	1.71	0.878	0.806	0.945	0.989
312	1.75	0.877	0.805	0.942	0.986	1.71	0.878	0.806	0.945	0.989
315	1.75	0.876	0.804	0.937	0.988	1.71	0.878	0.806	0.945	0.989
318	1.72	0.878	0.808	0.939	0.987	1.71	0.878	0.808	0.945	0.989
