data name: umls
model name: HRAN
learning rate: 0.001
entity dimension: 100
relation dimension: 100
batch size: 128
decay rate: 1.0
label smoothing: 0
convolution parameters: {'input_dropout': 0.2, 'hidden_dropout': 0.3, 'feature_map_dropout': 0.3, 'in_channels': 1, 'out_channels': 36, 'filt_height': 2, 'filt_width': 5}

Epoch	MR	MRR	Hits1	Hits3	Hits10	Best_MR	Best_MRR	Best_Hits1	Best_Hits3	Best_Hits10
3	38.18	0.129	0.058	0.114	0.256	38.18	0.129	0.058	0.114	0.256
6	30.68	0.201	0.096	0.218	0.406	30.68	0.201	0.096	0.218	0.406
9	32.13	0.262	0.175	0.291	0.413	30.68	0.262	0.175	0.291	0.413
12	30.57	0.252	0.158	0.270	0.439	30.57	0.262	0.175	0.291	0.439
15	29.89	0.309	0.228	0.335	0.456	29.89	0.309	0.228	0.335	0.456
18	28.74	0.288	0.187	0.330	0.459	28.74	0.309	0.228	0.335	0.459
21	27.04	0.308	0.221	0.324	0.464	27.04	0.309	0.228	0.335	0.464
24	24.76	0.344	0.253	0.370	0.508	24.76	0.344	0.253	0.370	0.508
27	25.14	0.357	0.279	0.371	0.522	24.76	0.357	0.279	0.371	0.522
30	24.36	0.374	0.299	0.388	0.521	24.36	0.374	0.299	0.388	0.522
33	22.02	0.413	0.349	0.408	0.549	22.02	0.413	0.349	0.408	0.549
36	20.59	0.425	0.358	0.425	0.564	20.59	0.425	0.358	0.425	0.564
39	18.92	0.442	0.366	0.447	0.597	18.92	0.442	0.366	0.447	0.597
42	19.18	0.458	0.396	0.453	0.595	18.92	0.458	0.396	0.453	0.597
45	15.49	0.500	0.428	0.500	0.666	15.49	0.500	0.428	0.500	0.666
48	13.01	0.556	0.480	0.567	0.735	13.01	0.556	0.480	0.567	0.735
51	12.40	0.571	0.495	0.584	0.758	12.40	0.571	0.495	0.584	0.758
54	11.75	0.613	0.547	0.623	0.776	11.75	0.613	0.547	0.623	0.776
57	10.47	0.649	0.579	0.672	0.797	10.47	0.649	0.579	0.672	0.797
60	9.34	0.673	0.606	0.699	0.819	9.34	0.673	0.606	0.699	0.819
63	8.30	0.698	0.632	0.723	0.838	8.30	0.698	0.632	0.723	0.838
66	7.93	0.732	0.678	0.748	0.850	7.93	0.732	0.678	0.748	0.850
